query_id,customer_id,query_text,product_category,query_type,resolution_time_hours,customer_satisfaction,customer_tier,customer_tenure_months,customer_total_orders,customer_avg_order_value,query_length_words,has_order_reference,is_urgent,created_datetime,hour_of_day,day_of_week,is_weekend,query_complexity_score
QRY_000001,CUST_0001,I want to return the Coffee Maker I ordered. It doesn't fit properly,Home & Garden,Returns,4.84,2.6,Bronze,72.2,14,138.29,13,False,False,2025-01-12 07:57:58,7,6,True,0.302
QRY_000002,CUST_0002,I was charged twice for my order #ORD876646. Can you help me get a refund?,Electronics,Billing,2.96,3.7,Bronze,48.3,13,138.29,15,True,False,2024-11-20 09:49:12,9,2,False,0.56
QRY_000003,CUST_0003,My order #ORD329258 was supposed to arrive yesterday but I haven't received it,Sports,Shipping,2.59,4.4,Bronze,84.1,16,126.83,13,True,False,2025-01-10 13:20:42,13,4,False,0.384
QRY_000004,CUST_0004,The Tablet arrived damaged. How do I return it?,Electronics,Returns,0.72,3.9,Bronze,17.9,11,126.71,9,False,False,2025-03-29 13:41:58,13,5,True,0.211
QRY_000005,CUST_0005,My package was delivered but I wasn't home. Where is it now?,Electronics,Shipping,2.86,3.5,Silver,3.6,10,223.28,12,False,False,2025-08-08 08:05:19,8,4,False,0.568
QRY_000006,CUST_0006,I need to change the delivery address for order #ORD391369,Sports,Shipping,2.57,5.0,Bronze,17.3,13,138.71,10,True,False,2025-01-09 06:21:39,6,3,False,0.182
QRY_000007,CUST_0007,Why was I charged tax on my order when I live in Wisconsin?,Clothing,Billing,1.86,3.1,Silver,4.5,10,119.91,13,False,False,2024-11-24 04:57:12,4,6,True,0.064
QRY_000008,CUST_0008,My order #ORD581741 was supposed to arrive yesterday but I haven't received it,Sports,Shipping,2.43,3.2,Bronze,16.4,9,242.61,13,True,False,2025-07-28 01:05:04,1,0,False,0.095
QRY_000009,CUST_0009,The tracking shows my package is stuck in South Christianport for 3 days,Home & Garden,Shipping,3.23,4.3,Bronze,17.6,12,186.92,13,False,False,2025-09-04 18:06:11,18,3,False,0.074
QRY_000010,CUST_0010,What are the dimensions of the Jeans?,Clothing,Product Info,1.89,3.9,Bronze,5.2,4,158.57,7,False,False,2024-11-04 10:36:20,10,0,False,0.282
